MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,Japan
19.0,6.0,156.0,108.0,2930.0,15.5,76.0,Japan
30.0,4.0,111.0,80.0,2155.0,14.8,77.0,US
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,US
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,US
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,US
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,US
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,US
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,US
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,US
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,US
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,US
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,US
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,US
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,US
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,US
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,US
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,US
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,US
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,US
18.0,6.0,225.0,105.0,3613.0,16.5,74.0,US
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,US
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,US
21.0,6.0,155.0,107.0,2472.0,14.0,73.0,US
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,US
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,US
24.5,4.0,98.0,60.0,2164.0,22.1,76.0,US
28.0,4.0,151.0,90.0,2678.0,16.5,80.0,US
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,US
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,US
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,US
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,US
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,US
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,US
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,US
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,US
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,US
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,US
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,US
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,US
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,US
16.0,6.0,250.0,100.0,3781.0,17.0,74.0,US
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,US
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,US
24.3,4.0,151.0,90.0,3003.0,20.1,80.0,US
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,US
33.5,4.0,98.0,83.0,2075.0,15.9,77.0,US
0.0,8.0,350.0,165.0,4142.0,11.5,70.0,US
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,US
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,US
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,US
25.0,4.0,140.0,92.0,2572.0,14.9,76.0,US
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,US
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,US
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,US
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,US
26.8,6.0,173.0,115.0,2700.0,12.9,79.0,US
18.0,6.0,171.0,97.0,2984.0,14.5,75.0,US
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,US
28.8,6.0,173.0,115.0,2595.0,11.3,79.0,US
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,US
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,US
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,US
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,US
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,US
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,US
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,US
36.1,4.0,98.0,66.0,1800.0,14.4,78.0,US
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,US
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,US
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,US
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,US
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,US
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,US
27.9,4.0,156.0,105.0,2800.0,14.4,80.0,US
13.0,8.0,360.0,170.0,4654.0,13.0,73.0,US
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,US
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,US
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,US
