Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US
Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
Chrysler New Yorker Brougham,13.0,8,440.0,215.0,4735.0,11.0,73,US
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US
AMC Matador (sw),14.0,8,304.0,150.0,4257.0,15.5,74,US
Ford F108,13.0,8,302.0,130.0,3870.0,15.0,76,US
Ford LTD,13.0,8,351.0,158.0,4363.0,13.0,73,US
Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
Mercury Marquis,11.0,8,429.0,208.0,4633.0,11.0,72,US
AMC Matador,14.0,8,304.0,150.0,3672.0,11.5,73,US
Ford LTD,14.0,8,351.0,148.0,4657.0,13.5,75,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0,3940.0,13.0,79,US
Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165.0,4142.0,11.5,70,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.0,17.0,74,US
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US
Mercury Cougar Brougham,15.0,8,302.0,130.0,4295.0,14.9,77,US
Chevrolet Impala,11.0,8,400.0,150.0,4997.0,14.0,73,US
Plymouth Duster,23.0,6,198.0,95.0,2904.0,16.0,73,US
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.0,15.5,71,US
Buick Century Luxus (sw),13.0,8,350.0,150.0,4699.0,14.5,74,US
Chevrolet Vega,20.0,4,140.0,90.0,2408.0,19.5,72,US
Chrysler Cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,US
AMC Rebel SST,16.0,8,304.0,150.0,3433.0,12.0,70,US
AMC Matador,15.5,8,304.0,120.0,3962.0,13.9,76,US
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US
Pontiac Grand Prix,16.0,8,400.0,230.0,4278.0,9.5,73,US
AMC Concord d/l,18.1,6,258.0,120.0,3410.0,15.1,78,US
Cadillac Seville,16.5,8,350.0,180.0,4380.0,12.1,76,US
Mercury Capri v6,21.0,6,155.0,107.0,2472.0,14.0,73,US
Dodge Aspen,18.6,6,225.0,110.0,3620.0,18.7,78,US
Plymouth Satellite Sebring,18.0,6,225.0,105.0,3613.0,16.5,74,US
Buick Estate Wagon (sw),14.0,8,455.0,225.0,3086.0,10.0,70,US
Chevrolet Woody,24.5,4,98.0,60.0,2164.0,22.1,76,US
Dodge Dart Custom,15.0,8,318.0,150.0,3399.0,11.0,73,US
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US
Dodge Colt Hatchback Custom,35.7,4,98.0,80.0,1915.0,14.4,79,US
AMC Matador,16.0,6,258.0,110.0,3632.0,18.0,74,US
Ford Torino (sw),0.0,8,351.0,153.0,4034.0,11.0,70,US
Chrysler Newport Royal,13.0,8,400.0,190.0,4422.0,12.5,72,US
Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US
Dodge Colt m/m,33.5,4,98.0,83.0,2075.0,15.9,77,US
Ford Galaxie 500,14.0,8,351.0,153.0,4129.0,13.0,72,US
Dodge Aspen 6,20.6,6,225.0,110.0,3360.0,16.6,79,US
Ford Country Squire (sw),13.0,8,400.0,170.0,4746.0,12.0,71,US
AMC Hornet,19.0,6,232.0,100.0,2901.0,16.0,74,US
AMC Hornet,18.0,6,232.0,100.0,2945.0,16.0,73,US
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US
Pontiac Sunbird Coupe,24.5,4,151.0,88.0,2740.0,16.0,77,US
Dodge Omni,30.9,4,105.0,75.0,2230.0,14.5,78,US
Buick Skylark Limited,28.4,4,151.0,90.0,2670.0,16.0,79,US
Chevrolet Vega 2300,28.0,4,140.0,90.0,2264.0,15.5,71,US
Pontiac Firebird,19.0,6,250.0,100.0,3282.0,15.0,71,US
Plymouth Valiant,22.0,6,225.0,100.0,3233.0,15.4,76,US
Plymouth Sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,US
AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US
Chevrolet Nova,22.0,6,250.0,105.0,3353.0,14.5,76,US
AMC Pacer d/l,17.5,6,258.0,95.0,3193.0,17.8,76,US
AMC Concord,19.4,6,232.0,90.0,3210.0,17.2,78,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0,3897.0,18.5,75,US
Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0,4077.0,14.0,72,US
Ford Pinto,23.0,4,140.0,83.0,2639.0,17.0,75,US
