Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen Rabbit l,36.0,4,105.0,74.0,1980.0,15.3,82,Europe
Peugeot 504,19.0,4,120.0,88.0,3270.0,21.9,76,Europe
Peugeot 505s Turbo Diesel,28.1,4,141.0,80.0,3230.0,20.4,81,Europe
Volkswagen Rabbit Custom,31.9,4,89.0,71.0,1925.0,14.0,79,Europe
Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
Fiat Strada Custom,37.3,4,91.0,69.0,2130.0,14.7,79,Europe
Fiat 124 Sport Coupe,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
Toyota Corolla Liftback,29.8,4,134.0,90.0,2711.0,15.5,80,Japan
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,70,Japan
Honda Accord LX,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
Datsun 310,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
Mazda GLC Deluxe,32.8,4,78.0,52.0,1985.0,19.4,78,Japan
Datsun 510 (sw),28.0,4,97.0,92.0,2288.0,17.0,72,Japan
Mazda RX2 Coupe,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
Mazda GLC,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
Mazda RX3,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
Toyota Corolla 1200,32.0,4,71.0,65.0,1836.0,21.0,74,Japan
Datsun 810,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
Toyota Celica GT,32.0,4,144.0,96.0,2665.0,13.9,82,Japan
Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
Datsun 710,24.0,4,119.0,97.0,2545.0,17.0,75,Japan
Toyota Corolla,24.0,4,134.0,96.0,2702.0,13.5,75,Japan
Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
Honda Civic (auto),32.0,4,91.0,67.0,1965.0,15.7,82,Japan
Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
Subaru DL,30.0,4,97.0,67.0,1985.0,16.4,77,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
Toyota Mark II,19.0,6,156.0,108.0,2930.0,15.5,76,Japan
Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
Datsun 280-ZX,32.7,6,168.0,132.0,2910.0,11.4,80,Japan
Mazda 626,31.3,4,120.0,75.0,2542.0,17.5,80,Japan
Datsun 200-SX,23.9,4,119.0,97.0,2405.0,14.9,78,Japan
Toyota Celica GT Liftback,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
Datsun 1200,35.0,4,72.0,69.0,1613.0,18.0,71,Japan
Toyota Corolla Mark ii,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
Honda Civic,24.0,4,120.0,97.0,2489.0,15.0,74,Japan
Toyota Corolla,28.0,4,97.0,75.0,2155.0,16.4,76,Japan
Datsun B210,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
Subaru DL,33.8,4,97.0,67.0,2145.0,18.0,80,Japan
Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
Toyota Corolla Mark II (sw),23.0,4,120.0,97.0,2506.0,14.5,72,Japan
Datsun F-10 Hatchback,33.5,4,85.0,70.0,1945.0,16.8,77,Japan
Toyota Corolla,27.5,4,134.0,95.0,2560.0,14.2,78,Japan
Datsun 810 Maxima,24.2,6,146.0,120.0,2930.0,13.8,81,Japan
Honda Accord CVCC,31.5,4,98.0,68.0,2045.0,18.5,77,Japan
Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
Toyota Corolla,29.0,4,97.0,75.0,2171.0,16.0,75,Japan
Toyota Corolla Tercel,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
Toyota Corolla,32.2,4,108.0,75.0,2265.0,15.2,80,Japan
Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
Mazda 626,31.6,4,120.0,74.0,2635.0,18.3,81,Japan
Toyota Corolla Hardtop,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
Honda Civic,38.0,4,91.0,67.0,1965.0,15.0,82,Japan
Mazda RX-4,21.5,3,80.0,110.0,2720.0,13.5,77,Japan
Datsun 710,32.0,4,83.0,61.0,2003.0,19.0,74,Japan
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
Toyota Camry,20.0,4,97.0,88.0,2279.0,19.0,73,Japan
Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
Pontiac Astro,23.0,4,140.0,78.0,2592.0,18.5,75,US
Chevrolet Chevette,30.0,4,98.0,68.0,2155.0,16.5,78,US
Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
Ford Gran Torino,14.0,8,302.0,137.0,4042.0,14.5,73,US
AMC Matador,14.0,8,304.0,150.0,3672.0,11.5,73,US
Buick Electra 225 Custom,12.0,8,455.0,225.0,4951.0,11.0,73,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.0,15.0,79,US
Ford Grenada,18.5,6,250.0,98.0,3525.0,19.0,77,US
Dodge Aspen,19.1,6,225.0,90.0,3381.0,18.7,80,US
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US
Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US
Buick Century,17.0,6,231.0,110.0,3907.0,21.0,75,US
Chevrolet Impala,14.0,8,454.0,220.0,4354.0,9.0,70,US
Ford Country,12.0,8,400.0,167.0,4906.0,12.5,73,US
Ford Gran Torino,14.5,8,351.0,152.0,4215.0,12.8,76,US
Buick Century Luxus (sw),13.0,8,350.0,150.0,4699.0,14.5,74,US
Plymouth Fury,18.0,6,225.0,95.0,3785.0,19.0,75,US
Buick Century 350,13.0,8,350.0,175.0,4100.0,13.0,73,US
Chevrolet Malibu,20.5,6,200.0,95.0,3155.0,18.2,78,US
Oldsmobile Cutlass Supreme,17.0,8,260.0,110.0,4060.0,19.0,77,US
Plymouth Duster,23.0,6,198.0,95.0,2904.0,16.0,73,US
Ford Torino,17.0,8,302.0,140.0,3449.0,10.5,70,US
Dodge Monaco Brougham,15.5,8,318.0,145.0,4140.0,13.7,77,US
Chevrolet Impala,11.0,8,400.0,150.0,4997.0,14.0,73,US
Buick Skylark,20.5,6,231.0,105.0,3425.0,16.9,77,US
AMC Concord DL,23.0,4,151.0,0.0,3035.0,20.5,82,US
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US
AMC Concord,19.4,6,232.0,90.0,3210.0,17.2,78,US
Ford Mustang,18.0,6,250.0,88.0,3139.0,14.5,71,US
Chrysler Newport Royal,13.0,8,400.0,190.0,4422.0,12.5,72,US
Chevrolet C10,13.0,8,350.0,145.0,4055.0,12.0,76,US
Plymouth Volare,20.5,6,225.0,100.0,3430.0,17.2,78,US
Ford Pinto,19.0,4,122.0,85.0,2310.0,18.5,73,US
Mercury Marquis Brougham,12.0,8,429.0,198.0,4952.0,11.5,73,US
Ford Grenada ghia,18.0,6,250.0,78.0,3574.0,21.0,76,US
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0,4098.0,14.0,72,US
Buick Century,22.4,6,231.0,110.0,3415.0,15.8,81,US
AMC Hornet,18.0,6,232.0,100.0,2945.0,16.0,73,US
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
Dodge Coronet Custom (sw),14.0,8,318.0,150.0,4457.0,13.5,74,US
Plymouth Duster,20.0,6,198.0,95.0,3102.0,16.5,74,US
Mercury Monarch,15.0,6,250.0,72.0,3432.0,21.0,75,US
Ford LTD,13.0,8,351.0,158.0,4363.0,13.0,73,US
Buick Century Limited,25.0,6,181.0,110.0,2945.0,16.4,82,US
Buick Skylark Limited,28.4,4,151.0,90.0,2670.0,16.0,79,US
Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US
Chevrolet Bel Air,15.0,8,350.0,145.0,4440.0,14.0,75,US
Mercury Zephyr 6,19.8,6,200.0,85.0,2990.0,18.2,79,US
Mercury Capri v6,21.0,6,155.0,107.0,2472.0,14.0,73,US
Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US
Ford LTD,14.0,8,351.0,148.0,4657.0,13.5,75,US
Plymouth Valiant Custom,19.0,6,225.0,95.0,3264.0,16.0,75,US
Chevy C20,10.0,8,307.0,200.0,4376.0,15.0,70,US
Dodge D100,13.0,8,318.0,150.0,3755.0,14.0,76,US
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0,3329.0,15.5,71,US
Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US
Dodge Colt m/m,33.5,4,98.0,83.0,2075.0,15.9,77,US
AMC Concord d/l,18.1,6,258.0,120.0,3410.0,15.1,78,US
Chevrolet Vega,20.0,4,140.0,90.0,2408.0,19.5,72,US
Pontiac Phoenix,27.0,4,151.0,90.0,2735.0,18.0,82,US
Pontiac Catalina,16.0,8,400.0,170.0,4668.0,11.5,75,US
Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US
Ford Galaxie 500,14.0,8,351.0,153.0,4154.0,13.5,71,US
Chrysler Cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,US
Pontiac Phoenix,33.5,4,151.0,90.0,2556.0,13.2,79,US
AMC Gremlin,18.0,6,232.0,100.0,2789.0,15.0,73,US
Ford Pinto (sw),22.0,4,122.0,86.0,2395.0,16.0,72,US
Oldsmobile Starfire SX,23.8,4,151.0,85.0,2855.0,17.6,78,US
AMC Ambassador Brougham,13.0,8,360.0,175.0,3821.0,11.0,73,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.0,18.0,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150.0,4464.0,12.0,73,US
Dodge Colt,27.9,4,156.0,105.0,2800.0,14.4,80,US
AMC Matador,18.0,6,232.0,100.0,3288.0,15.5,71,US
Dodge Challenger SE,15.0,8,383.0,170.0,3563.0,10.0,70,US
Chevrolet Citation,28.8,6,173.0,115.0,2595.0,11.3,79,US
Ford Gran Torino (sw),13.0,8,302.0,140.0,4294.0,16.0,72,US
Ford Galaxie 500,15.0,8,429.0,198.0,4341.0,10.0,70,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.0,17.0,74,US
Ford Country Squire (sw),15.5,8,351.0,142.0,4054.0,14.3,79,US
Plymouth Custom Suburb,13.0,8,360.0,170.0,4654.0,13.0,73,US
Chevrolet Vega,25.0,4,140.0,75.0,2542.0,17.0,74,US
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.0,15.5,71,US
Chevrolet Cavalier,28.0,4,112.0,88.0,2605.0,19.6,82,US
AMC Concord DL 6,20.2,6,232.0,90.0,3265.0,18.2,79,US
Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US
AMC Hornet,18.0,6,199.0,97.0,2774.0,15.5,70,US
AMC Matador,15.0,6,258.0,110.0,3730.0,19.0,75,US
Pontiac Ventura SJ,18.5,6,250.0,110.0,3645.0,16.2,76,US
Dodge Monaco (sw),12.0,8,383.0,180.0,4955.0,11.5,71,US
Ford Gran Torino,16.0,8,302.0,140.0,4141.0,14.0,74,US
Buick LeSabre Custom,13.0,8,350.0,155.0,4502.0,13.5,72,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US
Chevrolet Caprice Classic,17.5,8,305.0,145.0,3880.0,12.5,77,US
Plymouth Sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,US
Chrysler Lebaron Salon,17.6,6,225.0,85.0,3465.0,16.6,81,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,US
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US
Pontiac Grand Prix,16.0,8,400.0,230.0,4278.0,9.5,73,US
Chevy S-10,31.0,4,119.0,82.0,2720.0,19.4,82,US
AMC Spirit DL,27.4,4,121.0,80.0,2670.0,15.0,79,US
Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
Dodge Diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,US
Ford Fairmont,26.4,4,140.0,88.0,2870.0,18.1,80,US
Pontiac Phoenix LJ,19.2,6,231.0,105.0,3535.0,19.2,78,US
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
Chevrolet Camaro,27.0,4,151.0,90.0,2950.0,17.3,82,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0,4165.0,11.4,77,US
Plymouth Volare Custom,19.0,6,225.0,100.0,3630.0,17.7,77,US
Chevrolet Nova,15.0,6,250.0,100.0,3336.0,17.0,74,US
Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0,4237.0,14.5,73,US
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.0,13.0,73,US
Chevrolet Vega 2300,28.0,4,140.0,90.0,2264.0,15.5,71,US
Ford Torino 500,19.0,6,250.0,88.0,3302.0,15.5,71,US
Chevrolet Monza 2+2,20.0,8,262.0,110.0,3221.0,13.5,75,US
Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
AMC Matador,15.5,8,304.0,120.0,3962.0,13.9,76,US
Ford Gran Torino (sw),14.0,8,302.0,140.0,4638.0,16.0,74,US
Plymouth Cricket,26.0,4,91.0,70.0,1955.0,20.5,71,US
Mercury Capri 2000,23.0,4,122.0,86.0,2220.0,14.0,71,US
Plymouth Grand Fury,16.0,8,318.0,150.0,4498.0,14.5,75,US
Buick Estate Wagon (sw),14.0,8,455.0,225.0,3086.0,10.0,70,US
Chevrolet Vega (sw),22.0,4,140.0,72.0,2408.0,19.0,71,US
Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US
Plymouth Satellite,18.0,8,318.0,150.0,3436.0,11.0,70,US
Ford Pinto,26.0,4,122.0,80.0,2451.0,16.5,74,US
Chevrolet Citation,28.0,4,151.0,90.0,2678.0,16.5,80,US
Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US
AMC Gremlin,20.0,6,232.0,100.0,2914.0,16.0,75,US
Plymouth Satellite (sw),0.0,8,383.0,175.0,4166.0,10.5,70,US
Pontiac Sunbird Coupe,24.5,4,151.0,88.0,2740.0,16.0,77,US
Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0,4215.0,13.0,76,US
Ford Maverick,15.0,6,250.0,72.0,3158.0,19.5,75,US
AMC Matador (sw),14.0,8,304.0,150.0,4257.0,15.5,74,US
Ford Thunderbird,16.0,8,351.0,149.0,4335.0,14.5,77,US
Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
Mercury Marquis,11.0,8,429.0,208.0,4633.0,11.0,72,US
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US
Ford Maverick,18.0,6,250.0,88.0,3021.0,16.5,73,US
Ford Galaxie 500,14.0,8,351.0,153.0,4129.0,13.0,72,US
Dodge Coronet Brougham,16.0,8,318.0,150.0,4190.0,13.0,76,US
Cadillac Eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,US
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US
Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US
Oldsmobile Omega Brougham,26.8,6,173.0,115.0,2700.0,12.9,79,US
Dodge Magnum XE,17.5,8,318.0,140.0,4080.0,13.7,78,US
Capri ii,25.0,4,140.0,92.0,2572.0,14.9,76,US
Dodge Colt Hatchback Custom,35.7,4,98.0,80.0,1915.0,14.4,79,US
Plymouth Fury iii,14.0,8,318.0,150.0,4096.0,13.0,71,US
Ford Mustang II,13.0,8,302.0,129.0,3169.0,12.0,75,US
Ford Pinto,26.5,4,140.0,72.0,2565.0,13.6,76,US
AMC Gremlin,21.0,6,199.0,90.0,2648.0,15.0,70,US
Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US
Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
Ford Grenada l,22.0,6,232.0,112.0,2835.0,14.7,82,US
Mercury Monarch ghia,20.2,8,302.0,139.0,3570.0,12.8,78,US
Chevrolet Impala,13.0,8,350.0,165.0,4274.0,12.0,72,US
Ford Country Squire (sw),13.0,8,400.0,170.0,4746.0,12.0,71,US
Buick Estate Wagon (sw),16.9,8,350.0,155.0,4360.0,14.9,79,US
Cadillac Seville,16.5,8,350.0,180.0,4380.0,12.1,76,US
Dodge Aspen SE,20.0,6,225.0,100.0,3651.0,17.7,76,US
Pontiac Lemans V6,21.5,6,231.0,115.0,3245.0,15.4,79,US
Dodge Omni,30.9,4,105.0,75.0,2230.0,14.5,78,US
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Oldsmobile Omega,11.0,8,350.0,180.0,3664.0,11.0,73,US
Dodge Charger 2.2,36.0,4,135.0,84.0,2370.0,13.0,82,US
Chevrolet Chevette,30.5,4,98.0,63.0,2051.0,17.0,77,US
Ford Pinto,18.0,6,171.0,97.0,2984.0,14.5,75,US
Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
Plymouth Satellite Sebring,18.0,6,225.0,105.0,3613.0,16.5,74,US
Buick Skyhawk,21.0,6,231.0,110.0,3039.0,15.0,75,US
AMC Hornet,19.0,6,232.0,100.0,2901.0,16.0,74,US
Ford Pinto Runabout,21.0,4,122.0,86.0,2226.0,16.5,72,US
